date;Market Cap;Volume;Open;Close
29.11.2024;$1.892.297.852.305;$49.067.932.024;$95.662;$97.453
28.11.2024;$1.899.088.665.519;$81.469.353.260;$95.981;$95.662
27.11.2024;$1.819.990.514.406;$97.389.239.316;$91.932;$95.981
26.11.2024;$1.838.788.677.874;$89.476.321.216;$93.005;$91.932
25.11.2024;$1.939.446.484.727;$50.665.680.247;$98.016;$93.005
24.11.2024;$1.931.255.637.662;$47.414.200.207;$97.679;$98.016
23.11.2024;$1.958.091.000.958;$85.746.174.564;$98.927;$97.679
22.11.2024;$1.948.284.556.982;$118.163.852.022;$98.509;$98.927
21.11.2024;$1.862.618.759.426;$80.747.272.080;$94.217;$98.509
20.11.2024;$1.825.195.454.019;$80.493.234.958;$92.252;$94.217
19.11.2024;$1.790.917.617.392;$77.391.724.184;$90.535;$92.252
18.11.2024;$1.776.887.033.230;$48.556.083.102;$89.841;$90.535
17.11.2024;$1.790.415.769.635;$49.255.174.407;$90.606;$89.841
16.11.2024;$1.799.276.211.922;$84.382.485.698;$90.948;$90.606
15.11.2024;$1.726.797.438.787;$99.649.391.847;$87.408;$90.948
14.11.2024;$1.790.737.763.695;$136.046.309.844;$90.488;$87.408
13.11.2024;$1.741.113.172.482;$152.356.811.694;$88.265;$90.488
12.11.2024;$1.756.619.702.929;$133.959.805.309;$88.637;$88.265
11.11.2024;$1.590.846.468.754;$93.473.126.208;$80.467;$88.637
10.11.2024;$1.519.470.275.068;$31.430.906.056;$76.630;$80.467
09.11.2024;$1.514.048.743.889;$50.687.468.388;$76.550;$76.630
08.11.2024;$1.502.620.808.928;$66.590.396.087;$75.987;$76.550
07.11.2024;$1.496.392.703.841;$128.492.534.668;$75.621;$75.987
06.11.2024;$1.370.963.795.353;$40.025.021.601;$69.335;$75.621
05.11.2024;$1.340.192.510.480;$46.183.110.994;$67.793;$69.335
04.11.2024;$1.362.302.032.218;$37.659.435.507;$68.804;$67.793
03.11.2024;$1.370.516.856.366;$14.709.379.755;$69.299;$68.804
02.11.2024;$1.374.687.306.837;$54.863.092.261;$69.508;$69.299
01.11.2024;$1.390.195.908.293;$45.907.074.189;$70.265;$69.508
31.10.2024;$1.431.085.552.900;$43.498.144.314;$72.343;$70.265
30.10.2024;$1.439.310.420.089;$65.487.782.005;$72.781;$72.343
29.10.2024;$1.380.874.923.096;$41.990.540.385;$69.845;$72.781
28.10.2024;$1.343.350.549.900;$16.533.385.730;$67.939;$69.845
27.10.2024;$1.325.192.118.637;$21.169.467.790;$67.018;$67.939
26.10.2024;$1.313.975.091.942;$48.426.924.850;$66.586;$67.018
25.10.2024;$1.347.888.109.011;$35.892.606.570;$68.214;$66.586
24.10.2024;$1.318.285.437.546;$32.676.918.488;$66.684;$68.214
23.10.2024;$1.331.426.858.508;$31.398.389.967;$67.351;$66.684
22.10.2024;$1.332.326.858.574;$40.485.496.092;$67.395;$67.351
21.10.2024;$1.362.381.684.460;$17.253.863.433;$68.963;$67.395
20.10.2024;$1.351.942.347.611;$14.110.889.435;$68.389;$68.963
19.10.2024;$1.353.541.799.303;$39.984.956.633;$68.466;$68.389
18.10.2024;$1.330.387.728.624;$34.512.072.358;$67.328;$68.466
17.10.2024;$1.337.304.399.195;$40.640.495.380;$67.648;$67.328
16.10.2024;$1.323.774.576.162;$51.797.932.877;$66.962;$67.648
15.10.2024;$1.306.085.613.998;$46.553.796.134;$66.050;$66.962
14.10.2024;$1.241.241.970.951;$16.784.552.979;$62.830;$66.050
13.10.2024;$1.249.002.272.717;$17.665.963.646;$63.208;$62.830
12.10.2024;$1.233.357.176.570;$32.008.659.336;$62.392;$63.208
11.10.2024;$1.189.691.671.375;$29.481.971.886;$60.195;$62.392
10.10.2024;$1.197.736.450.280;$28.530.748.118;$60.597;$60.195
09.10.2024;$1.229.717.180.592;$28.626.429.277;$62.185;$60.597
08.10.2024;$1.231.091.696.620;$33.878.876.147;$62.287;$62.185
07.10.2024;$1.241.834.324.868;$14.592.422.861;$62.812;$62.287
06.10.2024;$1.226.761.949.791;$11.095.453.163;$62.092;$62.812
05.10.2024;$1.226.663.492.771;$30.349.059.839;$62.103;$62.092
04.10.2024;$1.200.491.237.696;$37.711.138.442;$60.728;$62.103
03.10.2024;$1.198.652.098.493;$41.870.731.292;$60.656;$60.728
02.10.2024;$1.202.927.109.018;$54.251.488.434;$60.873;$60.656
01.10.2024;$1.249.577.803.402;$35.124.446.789;$63.243;$60.873
30.09.2024;$1.297.825.615.076;$12.948.707.839;$65.664;$63.243
29.09.2024;$1.303.217.687.718;$15.342.911.003;$65.934;$65.664
28.09.2024;$1.299.708.226.182;$32.664.917.504;$65.791;$65.934
27.09.2024;$1.287.151.352.433;$37.995.568.904;$65.131;$65.791
26.09.2024;$1.245.721.254.991;$26.087.643.766;$63.152;$65.131
25.09.2024;$1.271.183.646.357;$31.490.984.594;$64.334;$63.152
24.09.2024;$1.251.095.079.247;$23.998.847.799;$63.327;$64.334
23.09.2024;$1.255.899.286.380;$20.349.365.413;$63.583;$63.327
22.09.2024;$1.254.104.417.392;$12.938.083.116;$63.403;$63.583
21.09.2024;$1.246.475.981.189;$35.587.830.477;$63.128;$63.403
20.09.2024;$1.243.871.590.271;$41.959.080.716;$62.967;$63.128
19.09.2024;$1.211.837.853.549;$40.445.339.415;$61.440;$62.967
18.09.2024;$1.191.818.552.364;$34.191.170.118;$60.317;$61.440
17.09.2024;$1.150.499.194.410;$32.196.570.894;$58.211;$60.317
16.09.2024;$1.169.677.517.083;$17.289.597.543;$59.215;$58.211
15.09.2024;$1.185.255.944.125;$15.800.120.841;$60.003;$59.215
14.09.2024;$1.197.832.322.916;$31.919.740.724;$60.621;$60.003
13.09.2024;$1.148.469.900.814;$34.177.859.933;$58.107;$60.621
12.09.2024;$1.134.292.554.479;$37.765.652.735;$57.382;$58.107
11.09.2024;$1.137.928.777.839;$29.676.093.302;$57.624;$57.382
10.09.2024;$1.126.840.069.632;$35.655.419.448;$57.049;$57.624
09.09.2024;$1.085.390.277.574;$18.644.823.662;$54.792;$57.049
08.09.2024;$1.068.954.727.890;$17.048.448.412;$54.151;$54.792
07.09.2024;$1.065.462.041.081;$50.260.816.557;$53.923;$54.151
06.09.2024;$1.109.212.553.022;$30.005.773.446;$56.132;$53.923
05.09.2024;$1.144.983.177.152;$37.550.380.697;$57.988;$56.132
04.09.2024;$1.137.361.604.371;$26.829.983.370;$57.505;$57.988
03.09.2024;$1.168.410.293.916;$28.012.782.291;$59.109;$57.505
02.09.2024;$1.133.133.027.661;$25.465.621.878;$57.358;$59.109
01.09.2024;$1.164.278.309.271;$11.399.086.336;$58.960;$57.358
31.08.2024;$1.168.247.205.701;$44.038.496.615;$59.156;$58.960
30.08.2024;$1.171.762.256.044;$32.563.333.957;$59.352;$59.156
29.08.2024;$1.166.032.395.736;$42.018.989.572;$59.015;$59.352
28.08.2024;$1.176.762.244.308;$38.131.727.428;$59.527;$59.015
27.08.2024;$1.242.487.823.611;$17.894.692.681;$62.923;$59.527
26.08.2024;$1.269.291.077.270;$17.875.230.147;$64.266;$62.923
25.08.2024;$1.264.961.887.999;$22.029.153.446;$64.157;$64.266
24.08.2024;$1.261.916.434.075;$45.038.665.759;$64.050;$64.157
23.08.2024;$1.192.308.382.714;$28.170.302.506;$60.388;$64.050
22.08.2024;$1.207.099.049.403;$32.960.965.011;$61.145;$60.388
21.08.2024;$1.166.088.863.323;$31.470.716.091;$59.060;$61.145
20.08.2024;$1.176.063.402.362;$24.031.330.179;$59.575;$59.060
19.08.2024;$1.156.217.205.294;$17.656.027.564;$58.438;$59.575
18.08.2024;$1.173.270.497.431;$12.467.437.134;$59.431;$58.438
17.08.2024;$1.162.716.063.850;$30.368.238.897;$58.882;$59.431
16.08.2024;$1.137.141.836.826;$33.490.251.842;$57.624;$58.882
15.08.2024;$1.159.479.277.228;$28.079.911.398;$58.739;$57.624
14.08.2024;$1.195.798.013.191;$31.955.576.195;$60.601;$58.739
13.08.2024;$1.171.441.797.234;$39.403.296.386;$59.350;$60.601
12.08.2024;$1.159.146.815.398;$21.715.994.493;$58.804;$59.350
11.08.2024;$1.201.818.989.571;$13.418.919.090;$60.888;$58.804
10.08.2024;$1.198.300.504.959;$33.804.208.928;$60.913;$60.888
09.08.2024;$1.218.342.891.279;$49.201.548.320;$61.859;$60.913
08.08.2024;$1.088.566.703.585;$41.605.918.903;$55.100;$61.859
